Species,TaxLevel,FunctionalGroup,Reference,Reference_pres_link,Observation
Aplidium_spp,Species,Ascidiacea,Schejter_etal_2016,https://doi.org/10.1007/s00300-016-1913-2,
Appendicularia_spp,Species,Zooplankton,Spinelli_etal_2020,https://doi.org/10.1016/j.jmarsys.2020.103398,
Arctocephalus_australis,Species,MarineMammals_2,RayaRey_pers.com.,NA,
Ardenna_gravis,Species,SeaBirds,RayaRey_pers.com.,NA,
Ardenna_grisea,Species,SeaBirds,RayaRey_pers.com.,NA,
Argeneuthria_varicosa,Species,Gastropoda,Pastorino_2016,https://doi.org/10.11646/zootaxa.4179.3.1,
Aristias_antarcticus,Species,Amphipoda,Lopez-Gappa_etal_2006; Chiesa_pers.com.,https://doi.org/10.11646/ZOOTAXA.1342.1.1,
Asbestopluma_sp,Species,Porifera,Schejter_etal_2020a,https://doi.org/10.1002/aqc.3265,
Ascidia_meridionalis,Species,Ascidiacea,Tatian_etal_2005,https://doi.org/10.3989/scimar.2005.69s2205,
Astarte_sp,Species,Bivalvia,Schejter_etal_2016,https://doi.org/10.1007/s00300-016-1913-2,
Astrotoma_agassizii,Species,Echinodermata,Schejter_etal_2016; 2020a,https://doi.org/10.1007/s00300-016-1913-2,
Austrocidaris_canaliculata,Species,Echinodermata,Schejter_etal_2016; Flores_etal_2019,https://doi.org/10.1007/s00300-016-1913-2,
Austrocidaris_spinulosida,Species,Echinodermata,Schejter_etal_2016,https://doi.org/10.1007/s00300-016-1913-2,
Austrodoris_sp,Species,Gastropoda,Schejter_etal_2016,https://doi.org/10.1007/s00300-016-1913-2,
Austrofilius_furcatus,Species,Isopoda,Doti_etal_2020,https://doi.org/10.1007/s00300-020-02725-z,
Austrofilius_sp,Species,Isopoda,Doti_etal_2020,https://doi.org/10.1007/s00300-020-02725-z,
Austronanus_dentatus,Species,Isopoda,Doti_etal_2020,https://doi.org/10.1007/s00300-020-02725-z,
Azadinium_sp,Species,Dinoflagellates,Guinder_etal_2020,https://doi.org/10.1371/journal.pone.0233156,As Dinoflagellates_auto
Bacteria,Domain,Bacteria,Guinder_etal_2020,https://doi.org/10.1371/journal.pone.0233156,
Balaenoptera_acutorostrata,Species,MarineMammals_1,RayaRey_pers.com.,NA,
Balaenoptera_bonaerensis,Species,MarineMammals_1,RayaRey_pers.com.,NA,
Balaenoptera_borealis,Species,MarineMammals_1,RayaRey_pers.com.,NA,
Balaenoptera_physalus,Species,MarineMammals_1,RayaRey_pers.com.,NA,
Balticina_africana,Species,Cnidaria_benthic,Schejter_etal_2018; 2020b,https://ri.conicet.gov.ar/handle/11336/98394,
Bathybiaster_loripes,Species,Echinodermata,Fraysse_etal_2018,https://doi.org/10.1007/s00300-018-2377-3,
Bathyraja_albomaculata,Species,Fish_Chond,Delpiani_etal_2020; Díaz de Astarloa_pers.com.,https://doi.org/10.1016/j.fishres.2019.105373,
Bathyraja_brachyurops,Species,Fish_Chond,Díaz de Astarloa_pers.com.,NA,
Bathyraja_cousseauae,Species,Fish_Chond,Díaz de Astarloa_pers.com.,NA,
Bathyraja_griseocauda,Species,Fish_Chond,Delpiani_TallerCientifico_2021,NA,
Bathyraja_macloviana,Species,Fish_Chond,Díaz de Astarloa_pers.com.,NA,
Bathyraja_multispinis,Species,Fish_Chond,Delpiani_TallerCientifico_2021,NA,
Bathyraja_scaphiops,Species,Fish_Chond,Delpiani_TallerCientifico_2021,NA,
Boccardia_sp,Species,Polychaeta,Bremec_etal_2019,http://dx.doi.org/10.15517/rbt.v67is5.38937,
Bolocera_kerguelensis,Species,Cnidaria_benthic,Schejter_etal_2020b,https://doi.org/10.11646/zootaxa.4878.2.1,
Brachiopoda_spp,Species,Brachiopoda,Schejter_etal_2016,https://doi.org/10.1007/s00300-016-1913-2,"Aggregated: Magellania_venosa, Liothyrella_uva & Terebratella_dorsata"
Bryozoa,Other,Bryozoa,See species,NA,NA
Caecianiropsis_ectiformis,Species,Isopoda,Doti_etal_2020,https://doi.org/10.1007/s00300-020-02725-z,
Calanus_spp,Species,Zooplankton,Spinelli_etal_2020,https://doi.org/10.1016/j.jmarsys.2020.103398,Aggregated: Calanus_australis & C._australis
Calcarea,Class,Porifera,Schejter_etal_2016,https://doi.org/10.1007/s00300-016-1913-2,
Calliostoma_spp,Species,Gastropoda,DiLuca&Zelaya_2019,https://doi.org/10.11646/zootaxa.4544.1.2,
Callochiton_puniceus,Species,Polyplacophora,Teso_etal_2019,https://doi.org/10.1186/s12898-019-0263-7,
Campanularia_sp,Species,Cnidaria_benthic,Schejter_etal_2016; 2020b,https://doi.org/10.1007/s00300-016-1913-2,
Campylaspis_spp,Species,Cumacea,Doti_etal_2020,https://doi.org/10.1007/s00300-020-02725-z,Aggregated: Campylaspis_frigida & Campylaspis_bacescui
Campylonotus_vagans,Species,Decapoda,Lovrich_etal_2005; Schejter_etal_2016,https://doi.org/10.3989/scimar.2005.69s2183,
Careproctus_sp,Species,Fish_BenPel,Díaz de Astarloa_pers.com.,NA,
Ceramaster_patagonicus,Species,Echinodermata,Fraysse_etal_2018,https://doi.org/10.1007/s00300-018-2377-3,
Chaetopterus_antarcticus,Species,Polychaeta,Bremec_etal_2019,http://dx.doi.org/10.15517/rbt.v67is5.38937,
Cheiraster_(Luidiaster)_gerlachei,Species,Echinodermata,Fraysse_etal_2018,https://doi.org/10.1007/s00300-018-2377-3,
Cirratulidae,Family,Polychaeta,Spinelli_etal_2020,https://doi.org/10.1016/j.jmarsys.2020.103398,
Cladodactyla_crocea,Species,Echinodermata,Martinez_pers.com.,NA,
Clathria_spp,Species,Porifera,Schejter_etal_2017b,https://doi.org/10.11646/zootaxa.4312.3.11,Aggregated: Clathria species
Clausocalanus_spp,Species,Zooplankton,Spinelli_etal_2020,https://doi.org/10.1016/j.jmarsys.2020.103398,Aggregated: Clausocalanus_brevipes & Cl._laticeps
Clavularia_sp,Species,Coral,Schejter_etal_2016,https://doi.org/10.1007/s00300-016-1913-2,
Cnemidocarpa_spp,Species,Ascidiacea,Taverna_etal_2018,https://doi.org/10.1007/s00300-018-2272-y,
Coelorinchus_fasciatus,Species,Fish_Demersal,Delpiani_etal_2020; Díaz de Astarloa_pers.com.,https://doi.org/10.1016/j.fishres.2019.105373,
Coelorinchus_kayomaru,Species,Fish_Demersal,Díaz de Astarloa_pers.com.,NA,
Coelorinchus_marinii,Species,Fish_Demersal,Delpiani_etal_2020; Díaz de Astarloa_pers.com.,https://doi.org/10.1016/j.fishres.2019.105373,
Colossendeis_megalonyx,Species,Benthos_Misc,Krabbe_etal_2010,https://doi.org/10.1007/s00300-009-0703-5,
Colpospirella_algida,Species,Gastropoda,DiLuca&Zelaya_2019,https://doi.org/10.11646/zootaxa.4544.1.2,
Convexella_magelhaenica,Species,Coral,Schejter_etal_2020a; 2020b,https://doi.org/10.1002/aqc.3265,
Copepodite,Ontogenetic stage,Zooplankton,Bruno_pers.com.,NA,
Coperonus_comptus,Species,Isopoda,Doti_etal_2020,https://doi.org/10.1007/s00300-020-02725-z,
Cosmasterias_lurida,Species,Echinodermata,Fraysse_etal_2018,https://doi.org/10.1007/s00300-018-2377-3,
Cottoperca_trigloides,Species,Fish_BenPel,Díaz de Astarloa_pers.com.,NA,
Cottunculus_granulosus,Species,Fish_Demersal,Delpiani_etal_2020; Díaz de Astarloa_pers.com.,https://doi.org/10.1016/j.fishres.2019.105373,
Cryosignum_sp,Species,Isopoda,Doti_etal_2020,https://doi.org/10.1007/s00300-020-02725-z,
Ctenocalanus_vanus,Species,Copepoda,Spinelli_etal_2020,https://doi.org/10.1016/j.jmarsys.2020.103398,
Ctenodiscus_australis,Species,Echinodermata,Rivadeneira_etal_2017; Fraysse_etal_2018,https://doi.org/10.3354/meps12296,
Cumella_argentinae,Species,Cumacea,Doti_etal_2020,https://doi.org/10.1007/s00300-020-02725-z,
Cyclochlamys_argentina,Species,Bivalvia,Pastorino&Griffin_2018,https://doi.org/10.1080/03115518.2018.1440005,
Cyrtostrombidium_sp,Species,Ciliates,Guinder_etal_2020,https://doi.org/10.1371/journal.pone.0233156,
Cystodytes_antarcticus,Species,Ascidiacea,Tatian_etal_2005,https://doi.org/10.3989/scimar.2005.69s2205,
Dactylanthus_antarcticus,Species,Cnidaria_benthic,Schejter_etal_2020b,https://doi.org/10.11646/zootaxa.4878.2.1,
Daption_capense,Species,SeaBirds,RayaRey_pers.com.,NA,
Desmosoma_sp,Species,Isopoda,Doti_etal_2020,https://doi.org/10.1007/s00300-020-02725-z,
Detritus,NA,Non-living,Riccialdelli_pers.com.,NA,
Diastylis_granulata,Species,Cumacea,Doti_etal_2020,https://doi.org/10.1007/s00300-020-02725-z,
Diastylis_hammoniae,Species,Cumacea,Doti_etal_2020,https://doi.org/10.1007/s00300-020-02725-z,
Diastylis_planifrons,Species,Cumacea,Doti_etal_2020,https://doi.org/10.1007/s00300-020-02725-z,
Diatoms_benthic,Species,Diatoms,Guinder_etal_2020,https://doi.org/10.1371/journal.pone.0233156,Aggregated: Paralia_sulcata & Thalassionema_nitzschioides
Diatoms_centric,Species,Diatoms,Guinder_etal_2020,https://doi.org/10.1371/journal.pone.0233156,Aggregated: Podosira_stelliger & Coscinodiscus_sp
Diatoms_pennate,Species,Diatoms,Guinder_etal_2020,https://doi.org/10.1371/journal.pone.0233156,"Aggregated: Fragilariopsis_kerguelensis, Navicula_sp, Pseudonitzschia_sp & Tabularia_fasciculata"
Dictyocha_speculum,Species,Silicoflagellates,Guinder_etal_2020,https://doi.org/10.1371/journal.pone.0233156,
Didemnum_studeri,Species,Ascidiacea,GBIF,https://www.gbif.org/species/2329803,
Dinoflagellates_heterosol,Species,Dinoflagellates,Guinder_etal_2020,https://doi.org/10.1371/journal.pone.0233156,"Aggregated: Dinophysis_acuminata, Gyrodinium_sp, Gyrodinium_spirale, Protoperidinium_sp"
Diomedea_sp,Species,SeaBirds,RayaRey_pers.com.,NA,
Diplasterias_brucei,Species,Echinodermata,Fraysse_etal_2018,https://doi.org/10.1007/s00300-018-2377-3,
Diplodontias_singularis,Species,Echinodermata,Fraysse_etal_2018,https://doi.org/10.1007/s00300-018-2377-3,
Diplopteraster_clarki,Species,Echinodermata,Schejter_etal_2016,https://doi.org/10.1007/s00300-016-1913-2,
Dissostichus_eleginoides,Species,Fish_BenPel,Díaz de Astarloa_pers.com.,NA,
Doryteuthis_gahi,Species,Cephalopoda,Riccialdelli_pers.com.,NA,
Drepanopus_forcipatus,Species,Copepoda,Spinelli_etal_2020,https://doi.org/10.1016/j.jmarsys.2020.103398,
Eatoniella_spp,Species,Gastropoda,DiLuca&Zelaya_2019,https://doi.org/10.11646/zootaxa.4544.1.2,
Echinozone_sp,Species,Isopoda,Doti_etal_2020,https://doi.org/10.1007/s00300-020-02725-z,
Eggs_Fish,Species,Zooplankton,GarciaAlonso_etal_2018; Vazquez_etal_2017,https://doi.org/10.1007/s00300-018-2352-z,Taken from Sprattus_fueguensis; Schroedericthys_bivius
Ekleptostylis_heardi,Species,Cumacea,Doti_etal_2020,https://doi.org/10.1007/s00300-020-02725-z,
Ekleptostylis_vemae,Species,Cumacea,Doti_etal_2020,https://doi.org/10.1007/s00300-020-02725-z,
Emiliania_huxleyi,Species,Coccolithophorids,Guinder_etal_2020,https://doi.org/10.1371/journal.pone.0233156,
Enteroctopodidae,Family,Cephalopoda,Bergagna_pers.com,NA,Aggregated: Enteroctopus_megalocyathus & Muusoctopus_longibrachus
Epitonium_sp,Species,Gastropoda,Schejter_etal_2016,https://doi.org/10.1007/s00300-016-1913-2,
Eteone_spp,Species,Polychaeta,Schejter_etal_2016,https://doi.org/10.1007/s00300-016-1913-2,
Eubalaena_australis,Species,MarineMammals_1,RayaRey_pers.com.,NA,
Eucranta_sp,Species,Polychaeta,Bremec_etal_2019,http://dx.doi.org/10.15517/rbt.v67is5.38937,
Eudorella_sp,Species,Cumacea,Doti_etal_2020,https://doi.org/10.1007/s00300-020-02725-z,
Eudyptes_chrysocome,Species,SeaBirds,RayaRey_pers.com.,NA,
Eukrohnia_hamata,Species,Zooplankton,Mazzoni_1990,https://bibliotecadigital.exactas.uba.ar/download/tesis/tesis_n2310_Mazzoni.pdf,
Eunereis_patagonica,Species,Polychaeta,Bremec_etal_2019,http://dx.doi.org/10.15517/rbt.v67is5.38937,
Eunice_pennata,Species,Polychaeta,Bremec_etal_2019,http://dx.doi.org/10.15517/rbt.v67is5.38937,
Euphausia_spp,Species,Zooplankton,Spinelli_etal_2020,https://doi.org/10.1016/j.jmarsys.2020.103398,Aggregated: E._lucens & E._vallentini
Eurhomalea_sp,Species,Bivalvia,Schejter_etal_2016,https://doi.org/10.1007/s00300-016-1913-2,Taken from Eurhomalea_exalbida
Eurypodius_latreillii,Species,Decapoda,Lovrich_etal_2005; Schejter_etal_2017a,https://doi.org/10.3989/scimar.2005.69s2183,
Eurypodius_longirostris,Species,Decapoda,Lovrich_etal_2005; Schejter_etal_2016,https://doi.org/10.3989/scimar.2005.69s2183,
Eurypodius_sp,Species,Decapoda,Lovrich_etal_2005,https://doi.org/10.3989/scimar.2005.69s2183,
Falsilunatia_carcellesi,Species,Gastropoda,Teso_etal_2019,https://doi.org/10.1186/s12898-019-0263-7,
Flabellum_spp,Species,Coral,Schejter_etal_2020b,https://doi.org/10.11646/zootaxa.4878.2.1,
Foraminifera,Phylum,Foraminifera,Guinder_etal_2020,https://doi.org/10.1371/journal.pone.0233156,
Fuegotrophon_pallidus,Species,Gastropoda,DiLuca&Zelaya_2019,https://doi.org/10.11646/zootaxa.4544.1.2,
Fulmarus_glacialoides,Species,SeaBirds,RayaRey_pers.com.,NA,
Fusitriton_magellanicus,Species,Gastropoda,Teso_etal_2019,https://doi.org/10.1186/s12898-019-0263-7,
Genypterus_blacodes,Species,Fish_Demersal,Delpiani_etal_2020; Díaz de Astarloa_pers.com.,https://doi.org/10.1016/j.fishres.2019.105373,
Glabraster_antarctica,Species,Echinodermata,Fraysse_etal_2018,https://doi.org/10.1007/s00300-018-2377-3,
Globicephala_melas,Species,MarineMammals_3,RayaRey_pers.com.,NA,
Glycera_spp,Species,Polychaeta,Bremec_etal_2019,http://dx.doi.org/10.15517/rbt.v67is5.38937,
Gorgonocephalus_chilensis,Species,Echinodermata,Schejter_etal_2016; 2020a,https://doi.org/10.1007/s00300-016-1913-2,
Grimothea_gregaria,Species,Decapoda,Diez_etal_2016; Schejter_etal_2016,https://doi.org/10.1016/j.seares.2016.04.004,
Grimothea_spinosa,Species,Decapoda,Lovrich_etal_2005,https://doi.org/10.3989/scimar.2005.69s2183,
Guttigadus_kongi,Species,Fish_Demersal,Delpiani_etal_2020; Díaz de Astarloa_pers.com.,https://doi.org/10.1016/j.fishres.2019.105373,
Gymnodinium_sp,Species,Dinoflagellates,Guinder_etal_2020,https://doi.org/10.1371/journal.pone.0233156,As Dinoflagellates_heterocol
Gyrodinium_sp,Species,Dinoflagellates,Guinder_etal_2020,https://doi.org/10.1371/journal.pone.0233156,Collapsed as Dinoflagellates_heterosol
Halicarcinus_planatus,Species,Decapoda,Schejter_etal_2016,https://doi.org/10.1007/s00300-016-1913-2,
Halichondrida,Order,Porifera,Schejter_etal_2016,https://doi.org/10.1007/s00300-016-1913-2,
Haplocheira_barbimana_robusta,Species,Amphipoda,Lopez-Gappa_etal_2006; Chiesa_pers.com.,https://doi.org/10.11646/ZOOTAXA.1342.1.1,
Haplosclerida,Order,Porifera,Schejter_etal_2016,https://doi.org/10.1007/s00300-016-1913-2,
Harmothoe_sp,Species,Polychaeta,Bremec_etal_2019; Spinelli_etal_2020,http://dx.doi.org/10.15517/rbt.v67is5.38937,
Hemilamprops_chilensis,Species,Cumacea,Doti_etal_2020,https://doi.org/10.1007/s00300-020-02725-z,
Henricia_obesa,Species,Echinodermata,Fraysse_etal_2018,https://doi.org/10.1007/s00300-018-2377-3,
Henricia_studeri,Species,Echinodermata,Fraysse_etal_2018,https://doi.org/10.1007/s00300-018-2377-3,
Hermadion_magalhaensi,Species,Polychaeta,Bremec_etal_2019,http://dx.doi.org/10.15517/rbt.v67is5.38937,
Hexactinellida,Class,Porifera,Schejter_etal_2016,https://doi.org/10.1007/s00300-016-1913-2,
Hiatella_sp,Species,Bivalvia,Güller_etal_2020,https://doi.org/10.1371/journal.pone.0233156,Taken from Hiatella_arctica
Hippasteria_falklandica,Species,Echinodermata,Fraysse_etal_2018,https://doi.org/10.1007/s00300-018-2377-3,
Holostylis_uniramosa,Species,Cumacea,Roccatagliata&Alberico_2015; Doti_etal_2020,https://doi.org/10.1007/s12526-015-0349-1,
Hormathia_pectinata,Species,Cnidaria_benthic,Schejter_etal_2020b,https://doi.org/10.11646/zootaxa.4878.2.1,
Hyalinoecia_artifex,Species,Polychaeta,Bremec_etal_2019,http://dx.doi.org/10.15517/rbt.v67is5.38937,
Hyperoodon_planifrons,Species,MarineMammals_3,Riccialdelli_etal_2017,https://doi.org/10.3354/meps12296,
Ianiropsis_sp,Species,Isopoda,Doti_etal_2020,https://doi.org/10.1007/s00300-020-02725-z,
Ianthopsis_laevis,Species,Isopoda,Doti_etal_2020,https://doi.org/10.1007/s00300-020-02725-z,
Iathrippa_menziesi,Species,Isopoda,Doti_etal_2020,https://doi.org/10.1007/s00300-020-02725-z,
Iathrippa_multidens,Species,Isopoda,Doti_etal_2020,https://doi.org/10.1007/s00300-020-02725-z,
Iathrippa_sp,Species,Isopoda,Doti_etal_2020,https://doi.org/10.1007/s00300-020-02725-z,
Idanthyrsus_macropaleus,Species,Polychaeta,Schejter_etal_2016; Bremec_etal_2019,https://doi.org/10.1007/s00300-016-1913-2,
Ideogorgia_laurae,Species,Coral,Pérez&Cordeiro_2020; Schejter_etal_2020b,https://doi.org/10.1007/s00300-019-02604-2,
Iluocoetes_fimbriatus,Species,Fish_Demersal,Delpiani_etal_2020; Díaz de Astarloa_pers.com.,https://doi.org/10.1016/j.fishres.2019.105373,
Isosicyonis_alba,Species,Cnidaria_benthic,Schejter_etal_2020b,https://doi.org/10.11646/zootaxa.4878.2.1,
Jassa_alonsoae,Species,Amphipoda,Lopez-Gappa_etal_2006; Chiesa_pers.com.,https://doi.org/10.11646/ZOOTAXA.1342.1.1,
Joeropsis_curvicornis,Species,Isopoda,Doti_etal_2020,https://doi.org/10.1007/s00300-020-02725-z,
Joeropsis_intermedius,Species,Isopoda,Doti_etal_2020,https://doi.org/10.1007/s00300-020-02725-z,
Joeropsis_sp,Species,Isopoda,Doti_etal_2020,https://doi.org/10.1007/s00300-020-02725-z,
Laboea_strobila,Species,Ciliates,Guinder_etal_2020,https://doi.org/10.1371/journal.pone.0233156,
Laetmonice_producta,Species,Polychaeta,Bremec_etal_2019,http://dx.doi.org/10.15517/rbt.v67is5.38937,
Lagenorhynchus_australis,Species,MarineMammals_2,RayaRey_pers.com.,NA,
Lagenorhynchus_cruciger,Species,MarineMammals_2,RayaRey_pers.com.; Dellabianca_etal_2012,https://doi.org/10.1007/s00300-012-1217-0,
Lanice_sp,Species,Polychaeta,Bremec_etal_2019,http://dx.doi.org/10.15517/rbt.v67is5.38937,
Larvae_Fish,Species,Zooplankton,GarciaAlonso_etal_2018; 2020,https://doi.org/10.1007/s00300-018-2352-z,
Larvae_Nauplii,Species,Zooplankton,Spinelli_etal_2020,https://doi.org/10.1016/j.jmarsys.2020.103398,
Latrunculia_sp,Species,Porifera,Schejter_etal_2016,https://doi.org/10.1007/s00300-016-1913-2,
Lepidonotothen_squamifrons,Species,Fish_BenPel,Díaz de Astarloa_pers.com.,NA,
Leptochiton_kerguelensis,Species,Polyplacophora,Teso_etal_2019,https://doi.org/10.1186/s12898-019-0263-7,
Leptochiton_medinae,Species,Polyplacophora,Teso_etal_2019,https://doi.org/10.1186/s12898-019-0263-7,
Leptychaster_sp,Species,Echinodermata,Fraysse_etal_2018,https://doi.org/10.1007/s00300-018-2377-3,
Leucon_septemdentatus,Species,Cumacea,Doti_etal_2020,https://doi.org/10.1007/s00300-020-02725-z,
Leucothoe_spinicarpa,Species,Amphipoda,Schejter_etal_2016,https://doi.org/10.1007/s00300-016-1913-2,
Libidoclaea_granaria,Species,Decapoda,Fischer_etal_2022,https://doi.org/10.1007/s00300-022-03082-9,
Limopsis_sp,Species,Bivalvia,Schejter_etal_2016,https://doi.org/10.1007/s00300-016-1913-2,Taken from Limopsis_hirtella
Liotella_crassicostata,Species,Gastropoda,DiLuca&Zelaya_2019,https://doi.org/10.11646/zootaxa.4544.1.2,
Lithodes_confundens,Species,Decapoda,Lovrich_etal_2005; Pérez-Barros_etal_2015; Schejter_etal_2016,https://doi.org/10.3989/scimar.2005.69s2183,
Lithodes_couesi,Species,Decapoda,Pérez-Barros_etal_2020,https://doi.org/10.1007/s00300-019-02609-x,
Lithodes_turkayi,Species,Decapoda,Stevens&Lovrich_2014,https://doi.org/10.1201/b16664,
Lohmanniella_sp,Species,Ciliates,Guinder_etal_2020,https://doi.org/10.1371/journal.pone.0233156,
Lumbrineridae,Family,Polychaeta,Bremec_etal_2019,http://dx.doi.org/10.15517/rbt.v67is5.38937,
Lysasterias_sp,Species,Echinodermata,Fraysse_etal_2018,https://doi.org/10.1007/s00300-018-2377-3,
Macrochiridothea_stebbingi,Species,Isopoda,Doti_etal_2020,https://doi.org/10.1007/s00300-020-02725-z,
Macronectes_giganteus,Species,SeaBirds,RayaRey_pers.com.,NA,
Macronectes_halli,Species,SeaBirds,RayaRey_pers.com.,NA,
Macrourus_carinatus,Species,Fish_BenPel,Delpiani_etal_2020; Díaz de Astarloa_pers.com.,https://doi.org/10.1016/j.fishres.2019.105373,
Macrourus_holotrachys,Species,Fish_BenPel,Delpiani_etal_2020; Díaz de Astarloa_pers.com.,https://doi.org/10.1016/j.fishres.2019.105373,
Macrourus_whitsoni,Species,Fish_BenPel,Zunino&Ichazo_1979,https://aquadocs.org/handle/1834/3126,
Macruronus_novaezelandiae,Species,Fish_BenPel,CampaignReport_Angelescu2018,https://www.pampazul.gob.ar/documentos/Informe-campania-VA1418-final.pdf,Synonym of Macruronus_magellanicus
Magelona_alleni,Species,Polychaeta,Spinelli_etal_2020,https://doi.org/10.1016/j.jmarsys.2020.103398,
Maldanidae,Family,Polychaeta,Bremec_etal_2019,http://dx.doi.org/10.15517/rbt.v67is5.38937,
Mancopsetta_maculata,Species,Fish_Demersal,Delpiani_etal_2020; Díaz de Astarloa_pers.com.,https://doi.org/10.1016/j.fishres.2019.105373,
Margarella_spp,Species,Gastropoda,DiLuca&Zelaya_2019,https://doi.org/10.11646/zootaxa.4544.1.2,
Melanostigma_gelatinosum,Species,Fish_Demersal,Díaz de Astarloa_pers.com.,NA,
Meridiosignum_menziesi,Species,Isopoda,Doti_etal_2020,https://doi.org/10.1007/s00300-020-02725-z,
Meridiosignum_undulatum,Species,Isopoda,Doti_etal_2020,https://doi.org/10.1007/s00300-020-02725-z,
Mesoplodon_bowdoini,Species,MarineMammals_3,Riccialdelli_etal_2017,https://doi.org/10.3354/meps12296,
Mesoplodon_grayi,Species,MarineMammals_3,Riccialdelli_etal_2017,https://doi.org/10.3354/meps12296,
Mesoplodon_layardii,Species,MarineMammals_3,Riccialdelli_etal_2017,https://doi.org/10.3354/meps12296,
Metepimeria_acanthurus,Species,Amphipoda,Schejter_etal_2016,https://doi.org/10.1007/s00300-016-1913-2,
Micromesistius_australis,Species,Fish_Pel,Zunino&Ichazo_1979,https://aquadocs.org/handle/1834/3126,
Moruloidea_darwinii,Species,Isopoda,Doti_etal_2020,https://doi.org/10.1007/s00300-020-02725-z,
Munna_gallardoi,Species,Isopoda,Doti_etal_2020,https://doi.org/10.1007/s00300-020-02725-z,
Munna_longipoda,Species,Isopoda,Doti_etal_2020,https://doi.org/10.1007/s00300-020-02725-z,
Munna_pallida,Species,Isopoda,Doti_etal_2020,https://doi.org/10.1007/s00300-020-02725-z,
Munnogonium_diplonychia,Species,Isopoda,Doti_etal_2020,https://doi.org/10.1007/s00300-020-02725-z,
Munnogonium_falklandicum,Species,Isopoda,Doti_etal_2020,https://doi.org/10.1007/s00300-020-02725-z,
Muraenolepis_spp,Species,Fish_BenPel,Díaz de Astarloa_pers.com.,NA,
Myxine_spp,Species,Fish_Demersal,Delpiani_etal_2020; Díaz de Astarloa_pers.com.,https://doi.org/10.1016/j.fishres.2019.105373,
Natatolana_pastorei,Species,Isopoda,Schejter_etal_2016,https://doi.org/10.1007/s00300-016-1913-2,
Neasellus_argentinensis,Species,Isopoda,Doti_etal_2020,https://doi.org/10.1007/s00300-020-02725-z,
Neasellus_bicarinatus,Species,Isopoda,Doti_etal_2020,https://doi.org/10.1007/s00300-020-02725-z,
Necromass,NA,Non-living,Riccialdelli_etal_2017,https://doi.org/10.3354/meps13524,
